;>999999999>strobert,>999999>Toaster,>999999>alestone,>999999>DDrew;96283
0000441286ba6832a049b10cee99066e8e377d73fe72114de7447622ae594760;miningbonus>1>null;8f2e
0000a753b165c5fd2d25e80e9288f6cc5e358de2ba55676c224ad95597a33d07;miningbonus>1>null;793d
000027992eaf350b4bc793a64fd18b1b674e627686e7e303e32339a9ae53db7f;miningbonus>1>null;1501
0000b092d2bc032e4d59a69490d235a4ea2e9ac80344425ca0bc7ae40c4a37e7;miningbonus>1>alestone;22c43
000066aa0256774c55b3eac8340174be957f30296985c845b27ed4fa0577e903;miningbonus>1>alestone;1585a
00009d7cef7b735cf1a4f2f9cbf6b841797232725df52373c01706cf4d796a15;miningbonus>1>null;2cde
0000913e11d3447a2e784c84172ed82abacf892526714fdd03ce390e4c07335c;miningbonus>1>null;256c6
000027e039f4444e73906006ecd85904050b1d26489ddfcfce9f3a6c74c3b4f8;miningbonus>1>null;4517
0000f21c4c70fa1915c376caecca1bf7ba1b954cd723515237e944dc16f89833;miningbonus>1>null;d4ab
000096276675c602cb0a2542318ab70655a328a96066c11a73f44c82c8f5ecb7;miningbonus>1>null;6053
0000dd55c680b9cc74c53381b772a09a971d8738b411e5747a4b8a19c68e2374;miningbonus>1>alestone;28b01
00006a959c5cb71b636dd747cd606ac3b09d5b6040778cf015b9894542a87d34;miningbonus>1>alestone;3631
00005c1dc20be38acbf8ec88ca8676962d37cbf6364622bd376f373300b56936;miningbonus>1>alestone;13fae
0000850f246942bb8d0707943a73bdec27c4d01aaee8070e30d522a2c07efe05;miningbonus>1>null;13867
00009e362bc9a556a4c395531f7f15657c5a2e1911a2fb071c07440b8fc48e5e;miningbonus>1>null;2ffd0
0000edb7c8ab064a6a4e6e4676869cf0ccb10ea7a75f4d2d4f55ffa20b3b9848;miningbonus>1>null;61c3
0000d2e0c4cde03caefa81269f524736f125259324fb791237f22ac0041c9cb1;miningbonus>1>alestone;147a8
0000557af5fb1c5f29080f60a3b5c2ab0246920a889e22756d5e380f7376497e;miningbonus>1>null;6ef5
0000386797449bf701616b701b881cffcd5b00e09a23aa76995aa646ed36a6e9;miningbonus>1>null;53a
0000d8bf815cd858e954f412c472b64b033fc207b1975b1f0d306d7710d886a2;miningbonus>1>alestone;62f2
0000ec1e65fe6739abb25ff6c3ec3097cf2b64604491557309dd9c35fe9e2ed4;miningbonus>1>null;13f07
000022b222cd667be76c22c616176edb3221b24239bc0ae988e53b9a49c9e1f6;miningbonus>1>null;c95
00007d433643589447670a82e4a7f2899eacebf260f1eeea3644693fc155d046;miningbonus>1>alestone;be12
0000c1519a8195f033884fef8d37fd7e4c6473e596c43447cb14e4e7ec529b25;miningbonus>1>alestone;6fa0
0000eb5fc11dbbac9f78839b21fa58a202d8529a6a9faea23b4b67c986043b12;miningbonus>1>alestone;38a90
0000edda38e6c44a73e8a2766b20a7bbf3196efacdac15a9fb5872122f7272fa;miningbonus>1>alestone;c0c4
00001c4e4d91f7730616dd53deb7b1dc15ee18634ca3bf71b1cf4a05b5657da1;miningbonus>1>alestone;93bd
0000297e864f86fedcb266a5c6ce4a934f3e020fbc62107ab9b0e41d4a2286aa;miningbonus>1>alestone;8db9
00004cf745230068194b0abb46794a736162903414a352a85da35ab26a284609;miningbonus>1>alestone;2848
000096d36703923c491ec816919f7e2b9ca6a0967a12b174335cba77d685ddac;miningbonus>1>alestone;fded
000038f5626241d683570e200ff51de7a5926b60c1d7006c5fcf30fc06d01aa9;miningbonus>1>alestone;117a3
0000afb258dc85f0372deaec0e5dfbf742834bd17f2ffd5d176c92acede575fd;miningbonus>1>alestone;6df4
00004d8424325a5a997c23b29b420cdcec24b3e378243ef0ec5c8077752e0881;miningbonus>1>alestone;2690c
00007a41f1e6f21a0e70435cb06b29988b75edc9bb2d72ea2671953a60a64ad4;miningbonus>1>alestone;3439b
000004ff8402529086ff72c38c523b319deb41aac34178fe41212a8c901188d0;miningbonus>1>alestone;188a
0000747b529cae53a1c8054bc14402f9ff78c805d8124d382b9f6ad81851525c;miningbonus>1>alestone;34faa
0000c2a48d3c3c0c4e26e19733ae3378e6c9482bb940fd2d833f12667644473f;miningbonus>1>alestone;9803
0000ce07c19d3c945272e6becf840e44419e12151bf1b5afeac875da7dd2b0b8;miningbonus>1>alestone;18550
00006d0148ef817e7174a05733b37fc005844ee4ceb4dfb919fdf6065b69c035;miningbonus>1>alestone;2752d
000038f395d61234c739a364f2fe4079700ce02de0ae5c3c9c19f1c8d3badc30;miningbonus>1>alestone;1cd74
00006703c83a4f6e9c519cc3489d086528ada8f9aebe57b62684b1383569dc4a;miningbonus>1>alestone;1e6ee
000030f6cf6123bb39b5208016dc60e677c83c33c184702fc9dad4bb7406433b;miningbonus>1>alestone;193dc
00002fc80f1edbbb5101a9fa4f70c284b6b6bbc4f21c738077da8a2160c87d98;miningbonus>1>alestone;1b321
00007afe7662f71367f1a1696298c9dfdec77705ba30dacbe7d3684dbd5ea273;miningbonus>1>alestone;2d73
0000630cb6fb23c0b19ba94c23403d7113fa7187a3f1372cadb284c6a06a1d9c;miningbonus>1>alestone;12f31
000017cc11fb4253fa74d5b876d6dfadc422d88f686e9e241b098691ec2b541d;miningbonus>1>alestone;c0a8
000015e391e21f98762f8f859c68011fada38805b9c211a5a13ec772f3ef4c72;miningbonus>1>alestone;19bae
000038ce005479b9c0f547fa8a246fb79d48a366deea35fb608c86244ac422dc;miningbonus>1>alestone;5228
0000b7aa07a786b065a2fdcb9de1fdb1009c449dde191dead7f2346540875869;miningbonus>1>alestone;169dc
000045072c95d2e892a735e01e82decafea7f522e43df21f601524dc34786ac7;miningbonus>1>alestone;aaa3
0000a40631eb08794d60a612f6c3171637391ea32467feb549feeae4f6f2485b;miningbonus>1>alestone;169b
0000850407b15f96f2b7dbb422fed3583f6f3fac13cbd7cec8447c8759fd1c97;miningbonus>1>alestone;23ae5
0000454a85cd67f1cd817229e36262db75ed844564bdffb90ec8891b767dab5f;miningbonus>1>alestone;8bf3
0000204c39e4f08111cefa800e69ed72a83c7eb53dd41bff06db0fc03a527659;miningbonus>1>alestone;102e5
0000ee5cfbe49575c5f3915e8f9d881881b75652a053a02110eb4014818df7a7;miningbonus>1>alestone;304b
00007488f9b6fb5f8a416ef1727ba29be3b6f57aa1e5281ed7a50bad0c312058;miningbonus>1>alestone;4ad07
00007e8a0a47f06a1e571a76550f0bcb7034e5afec0d85065cbe3acb728fbce1;miningbonus>1>alestone;3231
0000e70294fcc42cf4eeaafe6979f91b3a43f7267f1a3c6088bb9822dfbba649;miningbonus>1>alestone;e92
0000f8750611b28515984576957cdcf99aefbabf64b2517c680e67527786fa38;miningbonus>1>alestone;a9fc
000052779709a2b5ad3692490ef2e4164d325f4be1f9ce8f8f1eed988afef7f3;miningbonus>1>null;a706
00005a1b847c916cf6338dc1855d7de0b0a3af4bd512c63068c6e70585cc3f5e;miningbonus>1>null;df39
0000d56276e2afde10a34dfdd41094e74b4cf2264b42cd25157d48e392d5ee26;miningbonus>1>null;85c4
00002435fd6e8c6e6ea768469333322f8a50fc48a7ca49fce173cb5c1aace6ad;miningbonus>1>null;18cd8
0000b89e31b24c5c4d69ba6825e25c8bc0416f4f998c36152bb27a559844b1a6;miningbonus>1>alestone;142bc
0000eb0368a6f4ecabdef88e0f2ae6566090d01e64ce869628ff9d0514711cb7;miningbonus>1>alestone;4b3c
0000326957bb3aaabbe808f142788c96fc317d969019c19912256540b1cb2d67;miningbonus>1>alestone;62c9
00005806c06b6e517d3968336dcdd8b514a605ff26de3877deeeaec30c681410;miningbonus>1>alestone;95c4
000044064b2459b28ca333682d0bb330dc20d5bb3df61bf93503493ad811d4dd;miningbonus>1>null;22edc
0000f8ef5c313d5478a6dbd34f6af7a711a8d59667e10ab04485748f8e20b356;miningbonus>1>null;22e2c
00004b83961aad423fa9aa27a82fdd7f538d941028a8667cda5af16eaa5f6056;miningbonus>1>alestone;3f4a
000066f808335bafdc7c14769084c4c1087a364a5d0dcbb6dc19055f3d9084cd;miningbonus>1>alestone;a5ae
0000b2d477c02eaf10c9a70d2861036e1a38b7b837ed5dec9c95141f2788b190;miningbonus>1>null;cda9
0000bdd1183ed70fa00d60fb9e2680cae991a11abe04adb9ecfb55eadc4c9923;miningbonus>1>null;b70d
00003ed410af6a9dc9aafe96a2e7b5db7345b846e2059311f05c42760396ec19;miningbonus>1>alestone;16d13
0000d76ef285ee3fb5b8e07cce651a7eb497bc9d6bff107645e88d64fe5b2636;miningbonus>1>null;8a6f
00002c1040afa2cd82999432cf9fe170bc28fd2141e9390ccd273f07c76be419;miningbonus>1>null;3985
0000cc7651a3d93ff8fbab850b2d601321acdc61761274a65f974a55fce06397;miningbonus>1>null;bf3a
00006b272bdaaf4562d2e10790406a25fc757fb57c440fc209d38919caea4803;miningbonus>1>null;8dfb
0000fb4a5573e2270bd0fa167138104caeb91ada405879b173b5d90c807fe8be;miningbonus>1>alestone;310f6
0000346dd305ca28d2149945ba9943c3eec278a92533e6e7d4941af9614590a5;miningbonus>1>alestone;687
0000811fc9f36167396ccfdac95a3575b8259c0aaa30bfe84b5c044bcf5b0052;miningbonus>1>null;4c9e
000067f87b6463254d19d078da4872e8e521b2ec3975263a29f6b22ff5eb0160;miningbonus>1>null;11004
00004183e059d5f311f2298df05f7fb01cef7c7e3dad8c9b6074aaaeaa458083;miningbonus>1>null;7ef7
0000bba1711264a1e943f336fa902ba182a52a91339ee3325e80ab867110ef8c;miningbonus>1>null;8a89
0000d513a34178d1bcff1b7ad40eff778f89e8c704a56845a6ecbe6190617888;miningbonus>1>null;9b78
0000230b2c1bd31675d2a0fbcccc2ad6f85caab2d756e297d222c65ba5933de7;miningbonus>1>null;45f
0000b4d6c79caa9cebc11bfd68bd9a6c1bd3ccc60d0e66ee7f4ac3af7f30c591;miningbonus>1>alestone;5526d
